Year ending December,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population",Rate,LGA_Code
2018,1 NORTH WEST METRO,YARRA,11332,11532.363501186892,11.532363501186891,27350
2018,1 NORTH WEST METRO,WYNDHAM,11306,4406.179531875024,4.406179531875024,27260
2018,1 NORTH WEST METRO,WHITTLESEA,11816,5292.921181404822,5.2929211814048225,27070
2018,1 NORTH WEST METRO,NILLUMBIK,1655,2547.4590082986565,2.5474590082986563,25710
2018,1 NORTH WEST METRO,MORELAND,11615,6428.714573429552,6.428714573429552,25250
2018,1 NORTH WEST METRO,MOONEE VALLEY,6695,5209.18092746886,5.209180927468861,25060
2018,1 NORTH WEST METRO,MELTON,8068,5193.2193223123695,5.19321932231237,24650
2018,1 NORTH WEST METRO,MELBOURNE,26954,15474.580758392894,15.474580758392895,24600
2018,1 NORTH WEST METRO,MARIBYRNONG,6947,7495.819900871424,7.495819900871424,24330
2018,1 NORTH WEST METRO,HUME,15595,6900.308620375827,6.900308620375827,23270
2018,1 NORTH WEST METRO,HOBSONS BAY,4821,5003.037455598669,5.003037455598669,23110
2018,1 NORTH WEST METRO,DAREBIN,11621,7219.583428998637,7.219583428998637,21890
2018,1 NORTH WEST METRO,BRIMBANK,14594,6939.174818226215,6.939174818226215,21180
2018,1 NORTH WEST METRO,BANYULE,7174,5481.076474299736,5.481076474299736,20660
2017,1 NORTH WEST METRO,YARRA,10563,10961.107421550723,10.961107421550723,27350
2017,1 NORTH WEST METRO,WYNDHAM,10862,4490.24811700606,4.49024811700606,27260
2017,1 NORTH WEST METRO,WHITTLESEA,11343,5240.761788595349,5.240761788595349,27070
2017,1 NORTH WEST METRO,NILLUMBIK,1845,2850.741656365884,2.850741656365884,25710
2017,1 NORTH WEST METRO,MORELAND,10513,5953.371954085475,5.953371954085475,25250
2017,1 NORTH WEST METRO,MOONEE VALLEY,6679,5325.094678094479,5.325094678094478,25060
2017,1 NORTH WEST METRO,MELTON,8044,5402.428540726412,5.4024285407264125,24650
2017,1 NORTH WEST METRO,MELBOURNE,26531,16582.70413520676,16.58270413520676,24600
2017,1 NORTH WEST METRO,MARIBYRNONG,6466,7208.070899058023,7.208070899058023,24330
2017,1 NORTH WEST METRO,HUME,15056,6972.694601904339,6.9726946019043385,23270
2017,1 NORTH WEST METRO,HOBSONS BAY,4913,5172.450096858418,5.172450096858418,23110
2017,1 NORTH WEST METRO,DAREBIN,11451,7222.190687025789,7.222190687025789,21890
2017,1 NORTH WEST METRO,BRIMBANK,13251,6357.133604870397,6.357133604870397,21180
2017,1 NORTH WEST METRO,BANYULE,7433,5746.824286189221,5.746824286189221,20660
2016,1 NORTH WEST METRO,YARRA,11300,12101.092310987364,12.101092310987363,27350
2016,1 NORTH WEST METRO,WYNDHAM,12373,5424.660657290169,5.424660657290169,27260
2016,1 NORTH WEST METRO,WHITTLESEA,13078,6291.099234658291,6.291099234658291,27070
2016,1 NORTH WEST METRO,NILLUMBIK,2262,3518.979464841319,3.518979464841319,25710
2016,1 NORTH WEST METRO,MORELAND,12117,7041.042239280381,7.041042239280381,25250
2016,1 NORTH WEST METRO,MOONEE VALLEY,7743,6296.760132717454,6.296760132717455,25060
2016,1 NORTH WEST METRO,MELTON,9074,6401.45609492836,6.40145609492836,24650
2016,1 NORTH WEST METRO,MELBOURNE,28252,19084.16025506792,19.08416025506792,24600
2016,1 NORTH WEST METRO,MARIBYRNONG,7192,8233.07194779921,8.23307194779921,24330
2016,1 NORTH WEST METRO,HUME,17668,8501.178848097003,8.501178848097002,23270
2016,1 NORTH WEST METRO,HOBSONS BAY,5344,5722.117526126435,5.722117526126436,23110
2016,1 NORTH WEST METRO,DAREBIN,13228,8532.982415399105,8.532982415399104,21890
2016,1 NORTH WEST METRO,BRIMBANK,15094,7336.4083969651165,7.336408396965116,21180
2016,1 NORTH WEST METRO,BANYULE,7485,5861.715207568152,5.861715207568152,20660
2015,1 NORTH WEST METRO,YARRA,10052,11119.346024933353,11.119346024933353,27350
2015,1 NORTH WEST METRO,WYNDHAM,11331,5273.372054060092,5.273372054060092,27260
2015,1 NORTH WEST METRO,WHITTLESEA,10378,5249.500493183945,5.249500493183945,27070
2015,1 NORTH WEST METRO,NILLUMBIK,1942,3042.837892889599,3.042837892889599,25710
2015,1 NORTH WEST METRO,MORELAND,11156,6645.4998719269925,6.645499871926993,25250
2015,1 NORTH WEST METRO,MOONEE VALLEY,6958,5777.774087206358,5.777774087206358,25060
2015,1 NORTH WEST METRO,MELTON,8374,6188.84323173796,6.18884323173796,24650
2015,1 NORTH WEST METRO,MELBOURNE,24859,17936.304078039768,17.93630407803977,24600
2015,1 NORTH WEST METRO,MARIBYRNONG,6907,8107.378453881728,8.107378453881728,24330
2015,1 NORTH WEST METRO,HUME,14888,7481.3694403545705,7.4813694403545705,23270
2015,1 NORTH WEST METRO,HOBSONS BAY,5361,5844.708037154943,5.844708037154943,23110
2015,1 NORTH WEST METRO,DAREBIN,11474,7546.847149049245,7.546847149049245,21890
2015,1 NORTH WEST METRO,BRIMBANK,14827,7333.092639211051,7.333092639211052,21180
2015,1 NORTH WEST METRO,BANYULE,6859,5426.037703011653,5.426037703011653,20660
2014,1 NORTH WEST METRO,YARRA,9959,11372.486325381691,11.372486325381692,27350
2014,1 NORTH WEST METRO,WYNDHAM,10161,5023.98022249691,5.02398022249691,27260
2014,1 NORTH WEST METRO,WHITTLESEA,10240,5432.101385079758,5.432101385079758,27070
2014,1 NORTH WEST METRO,NILLUMBIK,1584,2493.192514126517,2.493192514126517,25710
2014,1 NORTH WEST METRO,MORELAND,10289,6270.836253710148,6.270836253710148,25250
2014,1 NORTH WEST METRO,MOONEE VALLEY,6447,5468.471677947987,5.468471677947987,25060
2014,1 NORTH WEST METRO,MELTON,7527,5808.677131083021,5.808677131083021,24650
2014,1 NORTH WEST METRO,MELBOURNE,23731,18359.97338573661,18.359973385736613,24600
2014,1 NORTH WEST METRO,MARIBYRNONG,6576,7945.771559067677,7.945771559067677,24330
2014,1 NORTH WEST METRO,HUME,13225,6892.831455286502,6.892831455286502,23270
2014,1 NORTH WEST METRO,HOBSONS BAY,5563,6150.699320028747,6.150699320028747,23110
2014,1 NORTH WEST METRO,DAREBIN,10977,7340.5599876955175,7.340559987695517,21890
2014,1 NORTH WEST METRO,BRIMBANK,13726,6884.859428686079,6.884859428686079,21180
2014,1 NORTH WEST METRO,BANYULE,6808,5432.059363280938,5.4320593632809375,20660
2013,1 NORTH WEST METRO,YARRA,9205,10936.070618146394,10.936070618146394,27350
2013,1 NORTH WEST METRO,WYNDHAM,9944,5216.059420274651,5.21605942027465,27260
2013,1 NORTH WEST METRO,WHITTLESEA,9987,5559.916492693111,5.559916492693111,27070
2013,1 NORTH WEST METRO,NILLUMBIK,1600,2530.52445119251,2.53052445119251,25710
2013,1 NORTH WEST METRO,MORELAND,9181,5730.1028560015975,5.730102856001597,25250
2013,1 NORTH WEST METRO,MOONEE VALLEY,6247,5407.7684190479495,5.407768419047949,25060
2013,1 NORTH WEST METRO,MELTON,6826,5500.89048989032,5.50089048989032,24650
2013,1 NORTH WEST METRO,MELBOURNE,24629,20607.79998828579,20.60779998828579,24600
2013,1 NORTH WEST METRO,MARIBYRNONG,6960,8704.461036281094,8.704461036281094,24330
2013,1 NORTH WEST METRO,HUME,12097,6531.222667343347,6.531222667343347,23270
2013,1 NORTH WEST METRO,HOBSONS BAY,5446,6106.61344217443,6.10661344217443,23110
2013,1 NORTH WEST METRO,DAREBIN,10017,6802.577876172302,6.802577876172302,21890
2013,1 NORTH WEST METRO,BRIMBANK,15276,7767.444461958539,7.767444461958539,21180
2013,1 NORTH WEST METRO,BANYULE,6431,5168.284685611418,5.168284685611418,20660
2012,1 NORTH WEST METRO,YARRA,9198,11302.114692257595,11.302114692257595,27350
2012,1 NORTH WEST METRO,WYNDHAM,11066,6169.164213718669,6.169164213718669,27260
