region,LGA,count,median,year,month,quarter,type,bedroom,LGA_Code
Barwon South West,Colac-Otway,10.0,205.0,2018,Sep,3.0,flat,1.0,21750.0
Barwon South West,Corangamite,6.0,168.0,2018,Sep,3.0,flat,1.0,21830.0
Barwon South West,Glenelg,5.0,150.0,2018,Sep,3.0,flat,1.0,22410.0
Barwon South West,Greater Geelong,109.0,220.0,2018,Sep,3.0,flat,1.0,22750.0
Barwon South West,Moyne,,,2018,Sep,3.0,flat,1.0,25490.0
Barwon South West,Queenscliffe,,,2018,Sep,3.0,flat,1.0,26080.0
Barwon South West,Southern Grampians,10.0,140.0,2018,Sep,3.0,flat,1.0,26260.0
Barwon South West,Surf Coast,,,2018,Sep,3.0,flat,1.0,26490.0
Barwon South West,Warrnambool,20.0,218.0,2018,Sep,3.0,flat,1.0,26730.0
Barwon South West,Group Total,164.0,220.0,2018,Sep,3.0,flat,1.0,
Grampians,Ararat,6.0,158.0,2018,Sep,3.0,flat,1.0,20260.0
Grampians,Ballarat,60.0,175.0,2018,Sep,3.0,flat,1.0,20570.0
Grampians,Golden Plains,,,2018,Sep,3.0,flat,1.0,22490.0
Grampians,Hepburn,,,2018,Sep,3.0,flat,1.0,22910.0
Grampians,Hindmarsh,,,2018,Sep,3.0,flat,1.0,22980.0
Grampians,Horsham,10.0,150.0,2018,Sep,3.0,flat,1.0,23190.0
Grampians,Moorabool,5.0,210.0,2018,Sep,3.0,flat,1.0,25150.0
Grampians,Northern Grampians,,,2018,Sep,3.0,flat,1.0,25810.0
Grampians,Pyrenees,,,2018,Sep,3.0,flat,1.0,25990.0
Grampians,West Wimmera,,,2018,Sep,3.0,flat,1.0,26890.0
Grampians,Yarriambiack,6.0,120.0,2018,Sep,3.0,flat,1.0,27630.0
Grampians,Group Total,97.0,160.0,2018,Sep,3.0,flat,1.0,
Loddon Mallee,Buloke,,,2018,Sep,3.0,flat,1.0,21270.0
Loddon Mallee,Campaspe,5.0,150.0,2018,Sep,3.0,flat,1.0,21370.0
Loddon Mallee,Central Goldfields,,,2018,Sep,3.0,flat,1.0,21670.0
Loddon Mallee,Gannawarra,,,2018,Sep,3.0,flat,1.0,22250.0
Loddon Mallee,Greater Bendigo,31.0,180.0,2018,Sep,3.0,flat,1.0,22620.0
Loddon Mallee,Loddon,,,2018,Sep,3.0,flat,1.0,23940.0
Loddon Mallee,Macedon Ranges,6.0,213.0,2018,Sep,3.0,flat,1.0,24130.0
Loddon Mallee,Mildura,22.0,163.0,2018,Sep,3.0,flat,1.0,24780.0
Loddon Mallee,Mount Alexander,,,2018,Sep,3.0,flat,1.0,25430.0
Loddon Mallee,Swan Hill,11.0,150.0,2018,Sep,3.0,flat,1.0,26610.0
Loddon Mallee,Group Total,83.0,165.0,2018,Sep,3.0,flat,1.0,
Hume,Alpine,,,2018,Sep,3.0,flat,1.0,20110.0
Hume,Benalla,5.0,150.0,2018,Sep,3.0,flat,1.0,21010.0
